OBJECTID,SITE,ADDRESS,EMAIL,PHONE,OPENING HOURS,EASTING,NORTHING,OFFICE_TYP,,,,,
339,Makarora Visitor Centre,"5956 Haast Pass - Makarora Road, SH 6, Makarora",makaroravc@doc.govt.nz,0064 3 443 8365,"Open daily December to March 8:00 am – 5:00 pm (closed 12 noon – 1:00 pm)
April open Monday - Friday 8:00 am – 5:00 pm (closed 12 noon – 1:00 pm) 
May - November:  interpretation area open - displays and weather information available.",1299075,5095569,Visitor Centre,,,,,
340,Mt Aspiring National Park Visitor Centre,"Ardmore Street, Wanaka",mtaspiringvc@doc.govt.nz,0064 3 443 7660,"Open daily: Peak (November - April) 8:00 am – 5:00 pm 
Off-peak (May - October) Mon - Fri 8:30 am – 5:00 pm, Saturday 9:30 am – 4:00 pm (closed daily 12 noon – 12:30 pm)",1294307,5043712,Visitor Centre,,,,,
247,Mt Cook Visitor Centre,"1 Larch Grove, Mount Cook Village, Mount Cook",mtcookvc@doc.govt.nz,0064 3 435 1186,"Open daily: Peak (Oct – Apr) 8:30 am – 5:00 pm
Off-peak (May – Sep) 8:30 am – 4:30 pm ",1366080,5153648,Visitor Centre,,,,,
336,Nelson Lakes Bookings Helpdesk,"3 View Road, St Arnaud",nelsonlakesvc@doc.govt.nz,0065 3 521 1808,"Weekend before Christmas to Waitangi Day 8:00 am – 6:00 pm daily
Waitangi Day to end of Easter 8:00 am – 5:00 pm daily
End of Easter to weekend before Christmas 8:00 am – 4:30 pm daily",1587025,5371900,Visitor Centre,,,,,
348,Nelson Marlborough Bookings Helpdesk,"Millers Acre, 79 Trafalgar St., Nelson",nmbookings@doc.govt.nz,0064 3 546 8210,"Open daily 8:30 am – 4:30 pm
Closed daily 12:00 pm – 1:00 pm",1623812,5431192,Bookings Office,,,,,
301,Nelson Regional Visitor Centre,"Millers Acre, 79 Trafalgar St., Nelson",nelsonvc@doc.govt.nz,0064 3 546 9339,"Mon - Fri 8:30 am – 5:00 pm
Sat and Sun 9:00 am – 4:00 pm",1623812,5431192,Visitor Centre,,,,,
334,Ohakune Visitor Centre,"54 Clyde Street, Ohakune",ohakunevc@doc.govt.nz,0064 6 385 8427,"Mon - Fri and public holiday weekends 9:00 am – 3:00 pm
Closed 12.30 – 1.00 pm",1806476,5634069,Visitor Centre,,,,,
216,Paparoa National Park Visitor Centre,"Main Road, Punakaiki",paparoavc@doc.govt.nz,0064 3 731 1895,"Peak Season (November - March): 9:00 am – 6:00 pm
Off peak season (April - October): 9:00 am – 4:30 pm
Closed Christmas Day",1461943,5336069,Visitor Centre,,,,,
287,Queenstown Regional Visitor Centre,"38 Shotover Street, Queenstown",queenstownvc@doc.govt.nz,0064 3 442 7935,"Open daily 9:00 am – 5:00 pm, hours may vary seasonally. 
Closed Saturdays and Sundays until 27th August 2012.",1258103,5004367,Visitor Centre,,,,,
291,Rakiura National Park Visitor Centre,"Information Centre, 15 Main Road, Halfmoon Bay, Stewart Island",rakiuravc@doc.govt.nz,0064 3 219 0009,"Mon - Fri: 8:00 am – 5:00 pm
Weekends: 9:00 am – 4:00 pm
Off-peak and public holidays: restricted hours",1228793,4794612,Visitor Centre,,,,,
329,Rangitaiki Visitor Centre,"1188 Main Road, Murupara",muruparavc@doc.govt.nz,0064 7 366 1080,"Peak season: Open daily until Easter
Off peak: 8:00 am – 5:00 pm, Mon - Fri, except public holidays ",1924418,5735374,Visitor Centre,,,,,
358,Te Urewera National Park Great Walk Bookings VC,State Highway 38 RD 5,teureweravc@doc.govt.nz,0064 6 837 3803,Open daily 8:00 am – 5:00 pm,1961893,5703289,Bookings Office,,,,,
335,Tongariro National Park Visitor Centre,"Whakapapa Village, SH 48, Mount Ruapehu",tongarirovc@doc.govt.nz,0064 7 892 3729,"Summer (mid-December – end February): 8:00 am – 6:00 pm daily (closed Christmas Day)
Winter (March – November): 8:00 am – 5:00 pm daily ",1819350,5657808,Visitor Centre,,,,,
324,Wellington National Visitor Centre,"18 - 32 Manners Street, Wellington",wellingtonvc@doc.govt.nz,0064 4 384 7770,"Mon - Fri 9:00 am – 5:00 pm
Sat 10:00 am – 3:30 pm",1748632,5427544,Visitor Centre,,,,,
337,Westland National Park Visitor Centre,"13 State Highway 6, Franz Josef Glacier",westlandnpvc@doc.govt.nz,0064 3 752 0796,"Open daily
Labour weekend - Easter: 8:30 am – 6:00 pm
Rest of year: 8:30 am – 4:45 pm",1371722,5192070,Visitor Centre,,,,,
,,,,,,,,,,,,,
