GreatWalk,Name,Description,Longitude,Latitude,POIIconType
KeplerTrack,Watching the sunrise from Luxmore Hut ,Watching the sunrise from Luxmore Hut allows you to take in splendid views of Lake Te Anau right across to the Murchison Mountains.,167.6189969,-45.38535944,Scenic Lookout
LakeWaikaremoana,Korokoro Falls,The Korokoro Falls are well worth the detour. The spectacular waterfall drops off a sheer cliff amidst native rain forest - very instagrammable! It’s a 30 minute walk just before the suspension bridge.,176.976503,-38.79837,Waterfall
LakeWaikaremoana,Maori History,"If the weather is less than postcard-blue skies, remember that the remote Te Urewera National Park has been home to Ngai Tuhoe, the local Maori people, who call themselves Nga Tamariki o te Kohu - the children of the mist. If you’re spending a rainy evening by the hut fireside, why not take a guidebook and take the opportunity to learn the names of some plants or bird in Te Reo Maori?",177.07704,-38.769288,Historic site
LakeWaikaremoana,Panekire Hut ,"Climbing to 1185 m to Panekire Hut, views of the ocean and the Lake - sunrise through the goblin forest trees at the top",177.051863,-38.812394,Scenic Lookout
LakeWaikaremoana,Swimming in the lake!,"Take your swimming gear! The cool, crystal clear water will be heavenly refreshing after a long day’s walk. There are plenty of spots, and most of the huts and campsites have great swimming too.",177.076125,-38.769041,Swimming
MilfordTrack,Blue Ducks - Clinton River ,"Look out for Whio (blue duck) riding rapids on the Clinton and Arthur Rivers. Often hard to spot, their blue-grey feathers provide perfect camouflage amongst rocks. Males whistle a call of ‘fee-o’ while females make a low rattling sound.",167.8474666,-44.87289125,Birdwatching
MilfordTrack,Clinton River Swing Bridge,"Cross the Clinton River on this impressive 72 m suspension bridge, built by Fijian engineers in 1978. The bridge is a great place to spot eels and trout in the river.",167.9301477,-44.91947415,Generic POI
MilfordTrack,Sutherland Falls ,Spectacular Sutherland Falls drops 580 m in three leaps from Lake Quill. Leave your pack at the shelter but don’t forget to take your raincoat – the falls generate a lot of spray! Allow 1.5 hours for the return trip.,167.7327528,-44.79799943,Waterfall
RakiuraTrack,Logging Haulers ,"Take a breather at the log haulers, remnants of a bygone era when these massive machines were used to drag the forest giants from the depths of the gullies and hillsides. ",168.0686522,-46.8455242,Historic site
RakiuraTrack,North Arm Hut ,"North Arm hut looks out over a large tidal bay, at the head of Paterson Inlet, where wading birds may often be seen feeding at low tide.",168.0184628,-46.88298688,Scenic Lookout
RakiuraTrack,Ulva Island ,"This predator-free island sanctuary is just a short 5 minute water taxi ride from Oban, the island’s only township. Enjoy exploring the island and spotting rare and endangered birds, many of which have been re-introduced.",168.135817,-46.932864,Birdwatching
RouteburnTrack,Ponamu trail,"Follow in the footsteps of the ancient Tai Poutini iwi (tribe) who regularly walked the Routeburn Valley to the head of Lake Whakatipu in search of Pounamu (jade/greenstone), a prized stone used for tools, weapons and ornaments.",168.117697,-44.824775,Historic site
RouteburnTrack,Routeburn Gorge,"Gorge-ous! History buffs will love the old forge and blacksmiths camp. From here, a short track leads to the site which supported construction of the early bridle track.",168.2470234,-44.7149846,Historic site
RouteburnTrack,Spot Mohua,Spot the endangered mohua (yellowhead). This cute little songster is often perched high in the treetops. Listen out its distinctive chirpy song as you’re walking the first 3 km of the track.,168.2597643,-44.71064194,Birdwatching
TongariroNationalPark,Tama Lakes,"Take the turn off to Tama Lakes from the main track. The two lakes, in filled explosion craters, are named after the high chief Tamatea, who explored the area six centuries ago.",175.606317,-39.201274,Lake
TongariroNationalPark,Taranaki Falls,"Tumbling 20 m over the edge of a large lava flow, which erupted from Ruapehu 15,000 years ago, Taranaki Falls plunge into a boulder-ringed pool. A looped track, allow 2 hours for the return trip.",175.565094,-39.196756,Waterfall
TongariroNationalPark,Volcanoes,"Walk across active volcanoes! The three volcanoes at the heart of the park are the mountains - Tongariro, Ngauruhoe and Ruapehu. Ruapehu and Ngauruhoe are two of the most active composite volcanoes in the world. ",175.634869,-39.158368,Volcano
WhanganuiJourney,Bridge to Nowhere walk,"Visit the famous Bridge to Nowhere, a bridge left behind by returned World War One Serviceman in the valley of abandoned dreams. A gentle 40 minute walk from the Mangapurua Landing on the Whanganui river will take you there.",174.974416,-39.278407,Side trip
WhanganuiJourney,Staying at Tieke Kainga,Enjoy a unique stay at Tieke Kainga on a marae that is also used as a Great Walks hut. Tieke was one of many old pa sites on the Whanganui River and has been revived as a kainga (village).,174.993106,-39.33747,Historic site
